,Species,Country,Outcome,Age,Sex,Year,Entity,Code,Urban land area (sq. km)
99,CACU,Mexico,Non-fatal,41,Male,2013,,,
100,CACU,Mexico,Fatal,10,Male,2013,,,
101,CACU,Belize,Non-fatal,adult,Male,2013,,,
102,CACU,Costa Rica,Non-fatal,?,Male,2013,,,
103,CACU,Costa Rica,Fatal,65,Male,2013,,,
104,CACU,Mexico,Non-fatal,?,Male,2013,,,
105,CACU,Mexico,Non-fatal,35,Male,2013,,,
106,CACU,Mexico,Non-fatal,61,Male,2014,,,
107,CACU,Mexico,Non-fatal,19-20,Male,2014,,,
108,CACU,El Salvador,Non-fatal,41,Male,2014,,,
109,CACU,Jamaica,Non-fatal,64,Male,2014,,,
110,CACU,Costa Rica,Non-fatal,adult,Male,2014,,,
111,CACU,Honduras,Non-fatal,22,Male,2014,,,
112,CACU,Costa Rica,Fatal,22,Male,2014,,,
113,CACU,Mexico,Non-fatal,20-something,Male,2014,,,
114,CACU,Mexico,Non-fatal,teenager,Male,2014,,,
115,CACU,Panama,Non-fatal,adult,Male,2014,,,
116,CACU,Mexico,Fatal,46,Male,2014,,,
117,CACU,Mexico,Non-fatal,adult,Male,2014,,,
118,CACU,Colombia,Non-fatal,6,Female,2014,,,
119,CACU,Mexico,Fatal,80-something,Male,2014,,,
120,CACU,Mexico,Non-fatal,25,Male,2014,,,
121,CACU,USA,Non-fatal,26,Male,2014,,,
122,CACU,USA,Non-fatal,23,Female,2014,,,
123,CACU,Mexico,Non-fatal,29,Female,2014,,,
124,CACU,Mexico,Non-fatal,over 35,Male,2014,,,
125,CACU,Mexico,Non-fatal,elderly,Male,2014,,,
126,CACU,Mexico,Non-fatal,14,Male,2014,,,
127,CACU,Mexico,Non-fatal,young,Female,2014,,,
128,CACU,Mexico,Non-fatal,young adult,Male,2014,,,
129,CACU,Mexico,Non-fatal,adult,Male,2015,,,
130,CACU,Mexico,Non-fatal,39,Male,2015,,,
131,CACU,Jamaica,Non-fatal,13,Female,2015,,,
132,CACU,Costa Rica,Non-fatal,44,Male,2015,,,
133,CACU,Colombia,Non-fatal,adult,Male,2015,,,
134,CACU,Mexico,Non-fatal,30-something,Male,2015,,,
135,CACU,Mexico,Non-fatal,20-something,Male,2015,,,
136,CACU,Mexico,Non-fatal,30-something,Male,2015,,,
137,CACU,Mexico,Fatal,7,Male,2015,,,
138,CACU,Mexico,Non-fatal,child,Female,2015,,,
139,CACU,Panama,Non-fatal,adult,Male,2015,,,
140,CACU,Mexico,Non-fatal,44,Male,2015,,,
141,CACU,Mexico,Non-fatal,50,Female,2015,,,
142,CACU,Mexico,Non-fatal,47,Male,2015,,,
143,CACU,Mexico,Non-fatal,69,Male,2015,,,
144,CACU,Costa Rica,Non-fatal,5,Male,2015,,,
145,CACU,Mexico,Fatal,78,Male,2015,,,
146,CACU,Mexico,Non-fatal,59,Male,2015,,,
147,CACU,Mexico,Non-fatal,30,Male,2015,,,
148,CACU,Mexico,Fatal,11,Male,2015,,,
149,CACU,El Salvador,Non-fatal,46,Male,2015,,,
150,CACU,Mexico,Fatal,74,Male,2015,,,
151,CACU,Mexico,Non-fatal,54,Male,2015,,,
152,CACU,Colombia,Non-fatal,adult,Male,2016,,,
153,CACU,Colombia,Non-fatal,adult,Male,2016,,,
154,CACU,Costa Rica,Non-fatal,29,Male,2016,,,
155,CACU,Costa Rica,Non-fatal,adult,Male,2016,,,
156,CACU,Costa Rica,Non-fatal,6,Male,2016,,,
157,CACU,Costa Rica,Non-fatal,30,Male,2016,,,
158,CACU,Costa Rica,Fatal,79,Male,2016,,,
159,CACU,Costa Rica,Non-fatal,51,Male,2016,,,
160,CACU,Mexico,Non-fatal,30,Male,2016,,,
161,CACU,Mexico,Non-fatal,55,Male,2016,,,
162,CACU,El Salvador,Non-fatal,30,Male,2016,,,
163,CACU,Mexico,Non-fatal,adult,Male,2016,,,
164,CACU,Costa Rica,Non-fatal,59,Male,2016,,,
165,CACU,Mexico,Non-fatal,57,Male,2016,,,
166,CACU,Mexico,Non-fatal,50-something,Male,2016,,,
167,CACU,Mexico,Non-fatal,37,Female,2016,,,
168,CACU,Mexico,Non-fatal,36,Male,2016,,,
169,CACU,Mexico,Non-fatal,adult,Male,2016,,,
170,CACU,Mexico,Fatal,10,Male,2016,,,
171,CACU,Mexico,Non-fatal,40,Male,2016,,,
172,CACU,Mexico,Fatal,78,Male,2016,,,
173,CACU,Mexico,Non-fatal,36,Male,2016,,,
174,CACU,Mexico,Non-fatal,40,Male,2016,,,
175,CACU,Mexico,Non-fatal,adult,Male,2016,,,
176,CACU,Mexico,Non-fatal,51,Male,2016,,,
177,CACU,Mexico,Non-fatal,63,Male,2016,,,
178,CACU,Mexico,Non-fatal,33,Male,2017,,,
179,CACU,Belize,Non-fatal,adult,Male,2017,,,
180,CACU,Costa Rica,Non-fatal,adult,Male,2017,,,
181,CACU,Mexico,Fatal,18,Male,2017,,,
182,CACU,Mexico,Non-fatal,30-something,Male,2017,,,
183,CACU,Panama,Non-fatal,59,Female,2017,,,
184,CACU,Costa Rica,Non-fatal,21,Male,2017,,,
185,CACU,Costa Rica,Non-fatal,32,Male,2017,,,
186,CACU,Mexico,Fatal,adult,Male,2017,,,
187,CACU,Costa Rica,Non-fatal,5,Female,2017,,,
188,CACU,Mexico,Non-fatal,60,Male,2017,,,
189,CACU,Mexico,Non-fatal,41,Male,2017,,,
190,CACU,Mexico,Non-fatal,61,Male,2017,,,
191,CACU,Mexico,Non-fatal,48,Male,2017,,,
192,CACU,Mexico,Non-fatal,52,Male,2017,,,
193,CACU,Mexico,Non-fatal,adult,Male,2017,,,
194,CACU,Mexico,Non-fatal,23,Male,2017,,,
195,CACU,Panama,Fatal,38,Male,2017,,,
196,CACU,Mexico,Non-fatal,59,Male,2017,,,
197,CACU,Jamaica,Non-fatal,47,Male,2017,,,
198,CACU,Mexico,Non-fatal,34,Male,2017,,,
199,CACU,Mexico,Fatal,37,Male,2017,,,
200,CACU,Mexico,Non-fatal,approx. 61,Male,2017,,,
201,CACU,Costa Rica,Non-fatal,39,Male,2017,,,
202,CACU,Mexico,Non-fatal,adult,Male,2017,,,
203,CACU,Mexico,Fatal,4,Male,2018,,,
204,CACU,Mexico,Non-fatal,50-something,Female,2018,,,
205,CACU,Cuba,Non-fatal,adult,Female,2018,,,
206,CACU,Mexico,Non-fatal,adult,Male,2018,,,
207,CACU,Mexico,Non-fatal,40-something,Male,2018,,,
208,CACU,Mexico,Non-fatal,27,Male,2018,,,
209,CACU,Mexico,Non-fatal,30-something,Male,2018,,,
210,CACU,Jamaica,Fatal,67,Male,2018,,,
211,CACU,Mexico,Fatal,35-40,Male,2018,,,
212,CACU,Mexico,Non-fatal,38,Male,2018,,,
213,CACU,Mexico,Non-fatal,19,Male,2018,,,
214,CACU,Mexico,Non-fatal,30,Female,2018,,,
215,CACU,Costa Rica,Non-fatal,adult,Female,2018,,,
216,CACU,Jamaica,Non-fatal,48,Male,2019,,,
217,CACU,Colombia,Non-fatal,43,Male,2019,,,
218,CACU,Mexico,Non-fatal,around 35,Male,2019,,,
219,CACU,Belize,Non-fatal,39,Female,2019,,,
220,CACU,Costa Rica,Non-fatal,adult,Male,2019,,,
221,CACU,Mexico,Non-fatal,54,Male,2019,,,
222,CACU,Colombia,Non-fatal,adult,Male,2019,,,
223,CACU,Jamaica,Non-fatal,50,Male,2019,,,
224,CACU,Mexico,Non-fatal,adult,Male,2019,,,
225,CACU,Costa Rica,Non-fatal,55,Male,2019,,,
226,CACU,Mexico,Non-fatal,65,Male,2019,,,
227,CACU,Jamaica,Non-fatal,adult,Male,2019,,,
228,CACU,Jamaica,Non-fatal,adult,Male,2019,,,
229,CACU,Costa Rica,Non-fatal,adult,Male,2019,,,
230,CACU,Colombia,Non-fatal,25,Male,2020,,,
231,CACU,Mexico,Fatal,4,Male,2020,,,
232,CACU,Nicaragua,Non-fatal,69,Male,2020,,,
233,CACU,Honduras,Fatal,10,Male,2020,,,
234,CACU,Mexico,Non-fatal,61,Male,2020,,,
235,CACU,Mexico,Non-fatal,6,Male,2020,,,
236,CACU,Panama,Non-fatal,adult,Male,2020,,,
237,CACU,Mexico,Non-fatal,47,Male,2020,,,
238,CACU,Mexico,Non-fatal,adult,Male,2020,,,
