,Species,Country,Outcome,Age,Sex,Year,Entity,Code,Population density (people per sq. km of land area)
75,CACU,Mexico,Non-fatal,?,Male,2012,Mexico,MEX,62.15607757
76,CACU,Venezuela,Non-fatal,6,Female,2012,Venezuela,VEN,33.89045972
77,CACU,Mexico,Non-fatal,53,Male,2012,Mexico,MEX,62.15607757
78,CACU,Mexico,Non-fatal,23,Male,2012,Mexico,MEX,62.15607757
79,CACU,Mexico,Non-fatal,69,Male,2012,Mexico,MEX,62.15607757
80,CACU,Mexico,Non-fatal,38,Male,2012,Mexico,MEX,62.15607757
81,CACU,Mexico,Non-fatal,elderly,Male,2012,Mexico,MEX,62.15607757
82,CACU,Mexico,Non-fatal,?,Male,2012,Mexico,MEX,62.15607757
83,CACU,Costa Rica,Non-fatal,?,Male,2012,Costa Rica,CRI,91.15005875
84,CACU,Mexico,Non-fatal,60,Male,2012,Mexico,MEX,62.15607757
85,CACU,Mexico,Non-fatal,30-something,Male,2012,Mexico,MEX,62.15607757
86,CACU,Mexico,Non-fatal,?,Male,2012,Mexico,MEX,62.15607757
87,CACU,Colombia,Non-fatal,41,Male,2012,Colombia,COL,42.25459667
88,CACU,Mexico,Non-fatal,20,Male,2012,Mexico,MEX,62.15607757
89,CACU,Colombia,Non-fatal,8,Male,2012,Colombia,COL,42.25459667
90,CACU,Panama,Non-fatal,29,Male,2013,Panama,PAN,51.6338714
91,CACU,Panama,Non-fatal,19,Male,2013,Panama,PAN,51.6338714
92,CACU,Panama,Fatal,41/45,Male,2013,Panama,PAN,51.6338714
93,CACU,Colombia,Fatal,15,Male,2013,Colombia,COL,42.67055521
94,CACU,Mexico,Non-fatal,?,Male,2013,Mexico,MEX,63.03452712
95,CACU,Costa Rica,Non-fatal,50,Male,2013,Costa Rica,CRI,92.17393263
96,CACU,Costa Rica,Non-fatal,14,Female,2013,Costa Rica,CRI,92.17393263
97,CACU,Mexico,Non-fatal,adult,Male,2013,Mexico,MEX,63.03452712
98,CACU,Mexico,Non-fatal,70,Male,2013,Mexico,MEX,63.03452712
99,CACU,Mexico,Non-fatal,41,Male,2013,Mexico,MEX,63.03452712
100,CACU,Mexico,Fatal,10,Male,2013,Mexico,MEX,63.03452712
101,CACU,Belize,Non-fatal,adult,Male,2013,Belize,BLZ,15.08903989
102,CACU,Costa Rica,Non-fatal,?,Male,2013,Costa Rica,CRI,92.17393263
103,CACU,Costa Rica,Fatal,65,Male,2013,Costa Rica,CRI,92.17393263
104,CACU,Mexico,Non-fatal,?,Male,2013,Mexico,MEX,63.03452712
105,CACU,Mexico,Non-fatal,35,Male,2013,Mexico,MEX,63.03452712
106,CACU,Mexico,Non-fatal,61,Male,2014,Mexico,MEX,63.90164356
107,CACU,Mexico,Non-fatal,19-20,Male,2014,Mexico,MEX,63.90164356
108,CACU,El Salvador,Non-fatal,41,Male,2014,El Salvador,SLV,303.1461873
109,CACU,Jamaica,Non-fatal,64,Male,2014,Jamaica,JAM,264.2739612
110,CACU,Costa Rica,Non-fatal,adult,Male,2014,Costa Rica,CRI,93.1761653
111,CACU,Honduras,Non-fatal,22,Male,2014,Honduras,HND,78.73103941
112,CACU,Costa Rica,Fatal,22,Male,2014,Costa Rica,CRI,93.1761653
113,CACU,Mexico,Non-fatal,20-something,Male,2014,Mexico,MEX,63.90164356
114,CACU,Mexico,Non-fatal,teenager,Male,2014,Mexico,MEX,63.90164356
115,CACU,Panama,Non-fatal,adult,Male,2014,Panama,PAN,52.51528114
116,CACU,Mexico,Fatal,46,Male,2014,Mexico,MEX,63.90164356
117,CACU,Mexico,Non-fatal,adult,Male,2014,Mexico,MEX,63.90164356
118,CACU,Colombia,Non-fatal,6,Female,2014,Colombia,COL,43.07517891
119,CACU,Mexico,Fatal,80-something,Male,2014,Mexico,MEX,63.90164356
120,CACU,Mexico,Non-fatal,25,Male,2014,Mexico,MEX,63.90164356
121,CACU,USA,Non-fatal,26,Male,2014,,,
122,CACU,USA,Non-fatal,23,Female,2014,,,
123,CACU,Mexico,Non-fatal,29,Female,2014,Mexico,MEX,63.90164356
124,CACU,Mexico,Non-fatal,over 35,Male,2014,Mexico,MEX,63.90164356
125,CACU,Mexico,Non-fatal,elderly,Male,2014,Mexico,MEX,63.90164356
126,CACU,Mexico,Non-fatal,14,Male,2014,Mexico,MEX,63.90164356
127,CACU,Mexico,Non-fatal,young,Female,2014,Mexico,MEX,63.90164356
128,CACU,Mexico,Non-fatal,young adult,Male,2014,Mexico,MEX,63.90164356
129,CACU,Mexico,Non-fatal,adult,Male,2015,Mexico,MEX,64.76038427
130,CACU,Mexico,Non-fatal,39,Male,2015,Mexico,MEX,64.76038427
131,CACU,Jamaica,Non-fatal,13,Female,2015,Jamaica,JAM,265.1831948
132,CACU,Costa Rica,Non-fatal,44,Male,2015,Costa Rica,CRI,94.1608304
133,CACU,Colombia,Non-fatal,adult,Male,2015,Colombia,COL,43.46885714
134,CACU,Mexico,Non-fatal,30-something,Male,2015,Mexico,MEX,64.76038427
135,CACU,Mexico,Non-fatal,20-something,Male,2015,Mexico,MEX,64.76038427
136,CACU,Mexico,Non-fatal,30-something,Male,2015,Mexico,MEX,64.76038427
137,CACU,Mexico,Fatal,7,Male,2015,Mexico,MEX,64.76038427
138,CACU,Mexico,Non-fatal,child,Female,2015,Mexico,MEX,64.76038427
139,CACU,Panama,Non-fatal,adult,Male,2015,Panama,PAN,53.39317998
140,CACU,Mexico,Non-fatal,44,Male,2015,Mexico,MEX,64.76038427
141,CACU,Mexico,Non-fatal,50,Female,2015,Mexico,MEX,64.76038427
142,CACU,Mexico,Non-fatal,47,Male,2015,Mexico,MEX,64.76038427
143,CACU,Mexico,Non-fatal,69,Male,2015,Mexico,MEX,64.76038427
144,CACU,Costa Rica,Non-fatal,5,Male,2015,Costa Rica,CRI,94.1608304
145,CACU,Mexico,Fatal,78,Male,2015,Mexico,MEX,64.76038427
146,CACU,Mexico,Non-fatal,59,Male,2015,Mexico,MEX,64.76038427
147,CACU,Mexico,Non-fatal,30,Male,2015,Mexico,MEX,64.76038427
148,CACU,Mexico,Fatal,11,Male,2015,Mexico,MEX,64.76038427
149,CACU,El Salvador,Non-fatal,46,Male,2015,El Salvador,SLV,304.6562741
150,CACU,Mexico,Fatal,74,Male,2015,Mexico,MEX,64.76038427
151,CACU,Mexico,Non-fatal,54,Male,2015,Mexico,MEX,64.76038427
152,CACU,Colombia,Non-fatal,adult,Male,2016,Colombia,COL,43.85166201
153,CACU,Colombia,Non-fatal,adult,Male,2016,Colombia,COL,43.85166201
154,CACU,Costa Rica,Non-fatal,29,Male,2016,Costa Rica,CRI,95.12875049
155,CACU,Costa Rica,Non-fatal,adult,Male,2016,Costa Rica,CRI,95.12875049
156,CACU,Costa Rica,Non-fatal,6,Male,2016,Costa Rica,CRI,95.12875049
157,CACU,Costa Rica,Non-fatal,30,Male,2016,Costa Rica,CRI,95.12875049
158,CACU,Costa Rica,Fatal,79,Male,2016,Costa Rica,CRI,95.12875049
159,CACU,Costa Rica,Non-fatal,51,Male,2016,Costa Rica,CRI,95.12875049
160,CACU,Mexico,Non-fatal,30,Male,2016,Mexico,MEX,65.60890095
161,CACU,Mexico,Non-fatal,55,Male,2016,Mexico,MEX,65.60890095
162,CACU,El Salvador,Non-fatal,30,Male,2016,El Salvador,SLV,306.2124517
163,CACU,Mexico,Non-fatal,adult,Male,2016,Mexico,MEX,65.60890095
164,CACU,Costa Rica,Non-fatal,59,Male,2016,Costa Rica,CRI,95.12875049
165,CACU,Mexico,Non-fatal,57,Male,2016,Mexico,MEX,65.60890095
166,CACU,Mexico,Non-fatal,50-something,Male,2016,Mexico,MEX,65.60890095
167,CACU,Mexico,Non-fatal,37,Female,2016,Mexico,MEX,65.60890095
168,CACU,Mexico,Non-fatal,36,Male,2016,Mexico,MEX,65.60890095
169,CACU,Mexico,Non-fatal,adult,Male,2016,Mexico,MEX,65.60890095
170,CACU,Mexico,Fatal,10,Male,2016,Mexico,MEX,65.60890095
171,CACU,Mexico,Non-fatal,40,Male,2016,Mexico,MEX,65.60890095
172,CACU,Mexico,Fatal,78,Male,2016,Mexico,MEX,65.60890095
173,CACU,Mexico,Non-fatal,36,Male,2016,Mexico,MEX,65.60890095
174,CACU,Mexico,Non-fatal,40,Male,2016,Mexico,MEX,65.60890095
175,CACU,Mexico,Non-fatal,adult,Male,2016,Mexico,MEX,65.60890095
176,CACU,Mexico,Non-fatal,51,Male,2016,Mexico,MEX,65.60890095
177,CACU,Mexico,Non-fatal,63,Male,2016,Mexico,MEX,65.60890095
178,CACU,Mexico,Non-fatal,33,Male,2017,Mexico,MEX,66.44372335
179,CACU,Belize,Non-fatal,adult,Male,2017,Belize,BLZ,16.42617273
180,CACU,Costa Rica,Non-fatal,adult,Male,2017,Costa Rica,CRI,96.07851547
181,CACU,Mexico,Fatal,18,Male,2017,Mexico,MEX,66.44372335
182,CACU,Mexico,Non-fatal,30-something,Male,2017,Mexico,MEX,66.44372335
183,CACU,Panama,Non-fatal,59,Female,2017,Panama,PAN,55.13299704
184,CACU,Costa Rica,Non-fatal,21,Male,2017,Costa Rica,CRI,96.07851547
185,CACU,Costa Rica,Non-fatal,32,Male,2017,Costa Rica,CRI,96.07851547
186,CACU,Mexico,Fatal,adult,Male,2017,Mexico,MEX,66.44372335
187,CACU,Costa Rica,Non-fatal,5,Female,2017,Costa Rica,CRI,96.07851547
188,CACU,Mexico,Non-fatal,60,Male,2017,Mexico,MEX,66.44372335
189,CACU,Mexico,Non-fatal,41,Male,2017,Mexico,MEX,66.44372335
190,CACU,Mexico,Non-fatal,61,Male,2017,Mexico,MEX,66.44372335
191,CACU,Mexico,Non-fatal,48,Male,2017,Mexico,MEX,66.44372335
192,CACU,Mexico,Non-fatal,52,Male,2017,Mexico,MEX,66.44372335
193,CACU,Mexico,Non-fatal,adult,Male,2017,Mexico,MEX,66.44372335
194,CACU,Mexico,Non-fatal,23,Male,2017,Mexico,MEX,66.44372335
195,CACU,Panama,Fatal,38,Male,2017,Panama,PAN,55.13299704
196,CACU,Mexico,Non-fatal,59,Male,2017,Mexico,MEX,66.44372335
197,CACU,Jamaica,Non-fatal,47,Male,2017,Jamaica,JAM,266.8789474
198,CACU,Mexico,Non-fatal,34,Male,2017,Mexico,MEX,66.44372335
199,CACU,Mexico,Fatal,37,Male,2017,Mexico,MEX,66.44372335
200,CACU,Mexico,Non-fatal,approx. 61,Male,2017,Mexico,MEX,66.44372335
201,CACU,Costa Rica,Non-fatal,39,Male,2017,Costa Rica,CRI,96.07851547
202,CACU,Mexico,Non-fatal,adult,Male,2017,Mexico,MEX,66.44372335
203,CACU,Mexico,Fatal,4,Male,2018,,,
204,CACU,Mexico,Non-fatal,50-something,Female,2018,,,
205,CACU,Cuba,Non-fatal,adult,Female,2018,,,
206,CACU,Mexico,Non-fatal,adult,Male,2018,,,
207,CACU,Mexico,Non-fatal,40-something,Male,2018,,,
208,CACU,Mexico,Non-fatal,27,Male,2018,,,
209,CACU,Mexico,Non-fatal,30-something,Male,2018,,,
210,CACU,Jamaica,Fatal,67,Male,2018,,,
211,CACU,Mexico,Fatal,35-40,Male,2018,,,
212,CACU,Mexico,Non-fatal,38,Male,2018,,,
213,CACU,Mexico,Non-fatal,19,Male,2018,,,
214,CACU,Mexico,Non-fatal,30,Female,2018,,,
215,CACU,Costa Rica,Non-fatal,adult,Female,2018,,,
216,CACU,Jamaica,Non-fatal,48,Male,2019,,,
217,CACU,Colombia,Non-fatal,43,Male,2019,,,
218,CACU,Mexico,Non-fatal,around 35,Male,2019,,,
219,CACU,Belize,Non-fatal,39,Female,2019,,,
220,CACU,Costa Rica,Non-fatal,adult,Male,2019,,,
221,CACU,Mexico,Non-fatal,54,Male,2019,,,
222,CACU,Colombia,Non-fatal,adult,Male,2019,,,
223,CACU,Jamaica,Non-fatal,50,Male,2019,,,
224,CACU,Mexico,Non-fatal,adult,Male,2019,,,
225,CACU,Costa Rica,Non-fatal,55,Male,2019,,,
226,CACU,Mexico,Non-fatal,65,Male,2019,,,
227,CACU,Jamaica,Non-fatal,adult,Male,2019,,,
228,CACU,Jamaica,Non-fatal,adult,Male,2019,,,
229,CACU,Costa Rica,Non-fatal,adult,Male,2019,,,
230,CACU,Colombia,Non-fatal,25,Male,2020,,,
231,CACU,Mexico,Fatal,4,Male,2020,,,
232,CACU,Nicaragua,Non-fatal,69,Male,2020,,,
233,CACU,Honduras,Fatal,10,Male,2020,,,
234,CACU,Mexico,Non-fatal,61,Male,2020,,,
235,CACU,Mexico,Non-fatal,6,Male,2020,,,
236,CACU,Panama,Non-fatal,adult,Male,2020,,,
237,CACU,Mexico,Non-fatal,47,Male,2020,,,
238,CACU,Mexico,Non-fatal,adult,Male,2020,,,
